Στ. Ατμοσφαιρικής Ρύπανσης   οδού Εγνατίας (Κέντρο Πόλης),A.A.,Ημερο- μηνία,Ημέρα,SO2 μg/m3,PM10 μg/m3,PM2.5 μg/m3,CO mg/m3,NO μg/m3,NO2 μg/m3,O3 μg/m3,_sheet,Στ. Ατμοσφαιρικής Ρύπανσης   οδού 25ης Μαρτίου (Αν. Θεσ/νίκη),Στ. Ατμοσφαιρικής Ρύπανσης   οδού Λαγκαδά (Δυτ. Θεσ/νίκη),Στ. Ατμοσφαιρικής Ρύπανσης   Επταπυργίου (Άνω Πόλη),Στ. Ατμοσφαιρικής Ρύπανσης   Μαλακοπής (Αν. Θεσ/νίκη περιοχή Τούμπας),Στ. Ατμοσφαιρικής Ρύπανσης   Νέου Δημαρχείου (Γεωγραφικό κέντρο πόλης)
ΕΤΟΣ 2010,7671.0,2010-01-01,2010-01-01,8.0,44.0,,2.1,94.0,82.0,17.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,7672.0,2010-01-02,2010-01-02,14.0,14.0,,2.1,84.0,91.0,19.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,7673.0,2010-01-03,2010-01-03,6.0,25.0,,2.5,111.0,87.0,19.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,7674.0,2010-01-04,2010-01-04,10.0,24.0,,1.9,152.0,109.0,20.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,7675.0,2010-01-05,2010-01-05,12.0,29.0,,2.7,137.0,101.0,10.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,7676.0,2010-01-06,2010-01-06,10.0,104.0,,2.2,209.0,84.0,11.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,7677.0,2010-01-07,2010-01-07,19.0,123.0,,4.5,330.0,117.0,12.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,7678.0,2010-01-08,2010-01-08,18.0,113.0,,3.6,280.0,100.0,10.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,7679.0,2010-01-09,2010-01-09,10.0,56.0,,2.2,135.0,90.0,18.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,7680.0,2010-01-10,2010-01-10,7.0,36.0,,2.2,126.0,101.0,19.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
