Απογραφή Πληθυσμού 2011 – Μόνιμος Πληθυσμός ανά Δήμο και Δημοτική Ενότητα Μητροπολιτικής Ενότητας Θεσσαλονίκη,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Επίπεδο διοικητικής διαίρεσης,α/α,Γεωγραφικός κωδικός Καλλικράτη,Περιγραφή ,Μόνιμος Πληθυσμός
5,1405,0701,"ΔΗΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ (Έδρα: Θεσσαλονίκη,η)",325182
6,1406,070101,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΘΕΣΣΑΛΟΝΙΚΗΣ,315196
8,1407,0701010001,"Θεσσαλονίκη,η",315196
21,,,Δημοτική Κοινότητα 1ου Διαμερίσματος Θεσσαλονίκης,44434
22,,,Δημοτική Κοινότητα 2ου Διαμερίσματος Θεσσαλονίκης,29812
23,,,Δημοτική Κοινότητα 3ου Διαμερίσματος Θεσσαλονίκης,27295
24,,,Δημοτική Κοινότητα 4ου Διαμερίσματος Θεσσαλονίκης,81615
25,,,Δημοτική Κοινότητα 5ου Διαμερίσματος Θεσσαλονίκης,132040
6,1408,070102,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΤΡΙΑΝΔΡΙΑΣ,9986
7,1409,07010201,Δημοτική Κοινότητα Τριανδρίας,9986
8,1410,0701020101,"Τριανδρία,η",9986
5,1411,0707,"ΔΗΜΟΣ ΚΑΛΑΜΑΡΙΑΣ (Έδρα: Καλαμαριά,η)",91518
8,1412,0707000001,"Καλαμαριά,η",91518
5,1413,0708,"ΔΗΜΟΣ ΚΟΡΔΕΛΙΟΥ - ΕΥΟΣΜΟΥ (Έδρα: Εύοσμον,το)",101753
6,1414,070802,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΕΛΕΥΘΕΡΙΟΥ - ΚΟΡΔΕΛΙΟΥ,27067
7,1415,07080201,Δημοτική Κοινότητα Ελευθερίου - Κορδελιού,27067
8,1416,0708020101,"Ελευθέριο - Κορδελιό,το",27067
6,1417,070801,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΕΥΟΣΜΟΥ,74686
7,1418,07080101,Δημοτική Κοινότητα Ευόσμου,74686
8,1419,0708010101,"Εύοσμον,το",74686
5,1420,0709,"ΔΗΜΟΣ ΛΑΓΚΑΔΑ (Έδρα: Λαγκαδάς,ο, Ιστορική έδρα: Λαχανάς,ο)",41103
